properties.ObjectId,properties.StopID,properties.PID,properties.actionTakenDuringStop,properties.personSearchConsentGiven,properties.propertySearchConsentGiven
36397,27390,1,Curbside detention,NULL,NULL
36398,27391,1,Curbside detention,NULL,NULL
36399,27391,1,Search of person was conducted,NULL,NULL
36400,27392,1,Patrol car detention,NULL,NULL
36401,27795,1,Curbside detention,NULL,NULL
36402,27795,1,Field sobriety test conducted,NULL,NULL
36403,27795,1,Handcuffed or flex cuffed,NULL,NULL
36404,27795,1,Person removed from vehicle by order,NULL,NULL
36405,27795,1,Search of person was conducted,NULL,NULL
36406,27796,1,None,NULL,NULL
36407,27797,1,None,NULL,NULL
36408,27613,1,Patrol car detention,NULL,NULL
36409,27799,1,Handcuffed or flex cuffed,NULL,NULL
36410,27799,1,Patrol car detention,NULL,NULL
36411,27754,1,None,NULL,NULL
36412,27614,1,None,NULL,NULL
36413,27799,1,Search of person was conducted,NULL,NULL
36414,27755,1,Asked for consent to search person,NULL,NULL
36415,27655,1,None,NULL,NULL
36416,27695,1,None,NULL,NULL
36417,27614,2,None,NULL,NULL
36418,27800,1,None,NULL,NULL
36419,27591,1,Person removed from vehicle by order,NULL,NULL
36420,27755,1,Curbside detention,NULL,NULL
36421,27656,1,None,NULL,NULL
36422,27696,1,Handcuffed or flex cuffed,NULL,NULL
36423,27614,3,Patrol car detention,NULL,NULL
36424,27801,1,None,NULL,NULL
36425,27591,1,Search of person was conducted,NULL,NULL
36426,27756,1,None,NULL,NULL
36427,27657,1,None,NULL,NULL
36428,27696,1,Patrol car detention,NULL,NULL
36429,27615,1,Patrol car detention,NULL,NULL
36430,27802,1,None,NULL,NULL
36431,27591,2,Person removed from vehicle by order,NULL,NULL
36432,27757,1,Asked for consent to search person,TRUE,NULL
36433,27657,2,None,NULL,NULL
36434,27696,1,Search of person was conducted,NULL,NULL
36435,27615,1,Search of person was conducted,NULL,NULL
36436,27803,1,None,NULL,NULL
36437,27591,2,Search of person was conducted,NULL,NULL
36438,27757,1,Handcuffed or flex cuffed,NULL,NULL
36439,27658,1,Curbside detention,NULL,NULL
36440,27697,1,None,NULL,NULL
36441,27616,1,None,NULL,NULL
36442,27804,1,None,NULL,NULL
36443,27591,3,Person removed from vehicle by order,NULL,NULL
36444,27757,1,Patrol car detention,NULL,NULL
36445,27658,1,Search of person was conducted,NULL,NULL
36446,27697,2,None,NULL,NULL
36447,27617,1,None,NULL,NULL
36448,27805,1,None,NULL,NULL
36449,27591,3,Search of person was conducted,NULL,NULL
36450,27758,1,None,NULL,NULL
36451,27659,1,Asked for consent to search person,TRUE,NULL
36452,27698,1,Asked for consent to search property,NULL,TRUE
36453,27618,1,None,NULL,NULL
36454,27806,1,None,NULL,NULL
36455,27592,1,None,NULL,NULL
36456,27759,1,None,NULL,NULL
36457,27659,1,Handcuffed or flex cuffed,NULL,NULL
36458,27698,1,Curbside detention,NULL,NULL
36459,27619,1,None,NULL,NULL
36460,27807,1,Asked for consent to search property,NULL,TRUE
36461,27593,1,None,NULL,NULL
36462,27760,1,None,NULL,NULL
36463,27660,1,Curbside detention,NULL,NULL
36464,27698,1,Person removed from vehicle by order,NULL,NULL
36465,27620,1,None,NULL,NULL
36466,27807,1,Curbside detention,NULL,NULL
36467,27594,1,Curbside detention,NULL,NULL
36468,27761,1,Curbside detention,NULL,NULL
36469,27661,1,None,NULL,NULL
36470,27698,1,Search of person was conducted,NULL,NULL
36471,27621,1,None,NULL,NULL
36472,27807,1,Person removed from vehicle by order,NULL,NULL
36473,27594,1,Search of person was conducted,NULL,NULL
36474,27761,1,Handcuffed or flex cuffed,NULL,NULL
36475,27662,1,None,NULL,NULL
36476,27699,1,None,NULL,NULL
36477,27622,1,None,NULL,NULL
36478,27807,1,Search of person was conducted,NULL,NULL
36479,27595,1,Person removed from vehicle by order,NULL,NULL
36480,27761,1,Search of person was conducted,NULL,NULL
36481,27663,1,None,NULL,NULL
36482,27700,1,Curbside detention,NULL,NULL
36483,27623,1,None,NULL,NULL
36484,27807,1,Search of property was conducted,NULL,NULL
36485,27595,1,Search of person was conducted,NULL,NULL
36486,27762,1,Patrol car detention,NULL,NULL
36487,27664,1,None,NULL,NULL
36488,27700,1,Search of person was conducted,NULL,NULL
36489,27624,1,None,NULL,NULL
36490,27808,1,None,NULL,NULL
36491,27596,1,None,NULL,NULL
36492,27665,1,None,NULL,NULL
36493,27762,1,Search of property was conducted,NULL,NULL
36494,27666,1,None,NULL,NULL
36495,27597,1,None,NULL,NULL
36496,27809,1,Handcuffed or flex cuffed,NULL,NULL
36497,27701,1,None,NULL,NULL
36498,27625,1,None,NULL,NULL
36499,27598,1,Patrol car detention,NULL,NULL
36500,27809,1,Person photographed,NULL,NULL
36501,27702,1,None,NULL,NULL
36502,27763,1,None,NULL,NULL
36503,27667,1,Curbside detention,NULL,NULL
36504,27626,1,None,NULL,NULL
36505,27598,1,Search of person was conducted,NULL,NULL
36506,27809,1,Property was seized,NULL,NULL
36507,27703,1,Curbside detention,NULL,NULL
36508,27764,1,Curbside detention,NULL,NULL
36509,27667,2,Curbside detention,NULL,NULL
36510,27627,1,None,NULL,NULL
36511,27599,1,Handcuffed or flex cuffed,NULL,NULL
36512,27809,1,Search of person was conducted,NULL,NULL
36513,27704,1,None,NULL,NULL
36514,27764,1,Handcuffed or flex cuffed,NULL,NULL
36515,27668,1,None,NULL,NULL
36516,27628,1,Asked for consent to search person,TRUE,NULL
36517,27599,1,Patrol car detention,NULL,NULL
36518,27810,1,Curbside detention,NULL,NULL
36519,27705,1,Curbside detention,NULL,NULL
36520,27764,1,Search of person was conducted,NULL,NULL
36521,27669,1,None,NULL,NULL
36522,27628,1,Asked for consent to search property,NULL,TRUE
36523,27599,1,Search of person was conducted,NULL,NULL
36524,27811,1,Asked for consent to search property,NULL,TRUE
36525,27705,1,Handcuffed or flex cuffed,NULL,NULL
36526,27765,1,None,NULL,NULL
36527,27670,1,None,NULL,NULL
36528,27628,1,Patrol car detention,NULL,NULL
36529,27600,1,None,NULL,NULL
36530,27811,1,Patrol car detention,NULL,NULL
36531,27705,1,Search of person was conducted,NULL,NULL
36532,27766,1,None,NULL,NULL
36533,27671,1,None,NULL,NULL
36534,27628,1,Search of person was conducted,NULL,NULL
36535,27601,1,Handcuffed or flex cuffed,NULL,NULL
