properties.ObjectId,properties.StopID,properties.PID,properties.basisForPropertySeizure
609,6321,1,NULL
610,6481,1,NULL
611,6421,1,NULL
612,6277,1,NULL
613,6226,1,NULL
614,6322,1,NULL
615,6482,1,NULL
616,6422,1,NULL
617,6278,1,NULL
618,6227,1,NULL
619,6323,1,NULL
620,6423,1,NULL
621,6279,1,NULL
622,6228,1,NULL
623,6324,1,NULL
624,6424,1,NULL
625,6279,2,NULL
626,6229,1,NULL
627,6325,1,NULL
628,6425,1,NULL
629,6280,1,NULL
630,6229,2,NULL
631,6326,1,NULL
632,6427,1,NULL
633,6281,1,NULL
634,6230,1,NULL
635,6327,1,NULL
636,6428,1,NULL
637,6282,1,Evidence
638,6231,1,NULL
639,6328,1,NULL
640,6429,1,NULL
641,6283,1,NULL
642,6232,1,NULL
643,6329,1,NULL
644,6430,1,NULL
645,6284,1,NULL
646,6233,1,NULL
647,6330,1,NULL
648,6431,1,NULL
649,6285,1,NULL
650,6233,2,NULL
651,6331,1,NULL
652,6432,1,NULL
653,6286,1,NULL
654,6234,1,NULL
655,6332,1,NULL
656,6433,1,NULL
657,6287,1,NULL
658,6235,1,NULL
659,6333,1,NULL
660,6434,1,NULL
661,6288,1,NULL
662,6236,1,NULL
663,6334,1,NULL
664,6435,1,NULL
665,6289,1,NULL
666,6237,1,NULL
667,6334,2,NULL
668,6435,2,NULL
669,6290,1,NULL
670,6238,1,NULL
671,6335,1,NULL
672,6436,1,NULL
673,6291,1,NULL
674,6239,1,NULL
675,6336,1,NULL
676,6337,1,NULL
677,6337,3,NULL
678,6338,1,NULL
679,6339,1,Contraband
680,6339,1,Evidence
681,6340,1,NULL
682,6341,1,NULL
683,6341,2,NULL
684,6342,1,NULL
685,6240,1,NULL
686,6437,1,NULL
687,6292,1,NULL
688,6241,1,NULL
689,6438,1,NULL
690,6293,1,NULL
691,6242,1,NULL
692,6439,1,NULL
693,6293,2,NULL
694,6243,1,NULL
695,6440,1,NULL
696,6294,1,NULL
697,6244,1,NULL
698,6441,1,NULL
699,6244,2,NULL
700,6245,1,NULL
701,6158,1,NULL
702,6159,1,NULL
703,6160,1,NULL
704,6161,1,NULL
705,6162,1,NULL
706,6163,1,NULL
707,6164,1,NULL
708,6165,1,NULL
709,6166,1,NULL
710,6167,1,NULL
711,6168,1,NULL
712,6169,1,NULL
713,6170,1,NULL
714,6171,1,NULL
715,6172,1,NULL
716,6173,1,NULL
717,6174,1,NULL
718,6175,1,NULL
719,6176,1,NULL
720,6177,1,NULL
721,6178,1,NULL
722,6178,2,NULL
723,6178,3,NULL
724,6178,4,NULL
725,6178,5,NULL
726,6178,6,NULL
727,6178,7,NULL
728,6179,1,NULL
729,6180,1,NULL
730,6181,1,NULL
731,6182,1,NULL
732,6182,2,NULL
733,6183,1,NULL
734,6184,1,NULL
735,6185,1,NULL
736,6186,1,NULL
737,6187,1,NULL
738,6188,1,NULL
739,6189,1,NULL
740,6190,1,NULL
741,6191,1,NULL
742,6192,1,NULL
743,6193,1,NULL
744,6194,1,NULL
745,6195,1,NULL
746,6196,1,NULL
747,6197,1,NULL
748,6197,2,NULL
749,6197,3,NULL
750,6198,1,NULL
751,6344,1,NULL
752,6345,1,Evidence
753,6346,1,NULL
754,6347,1,NULL
755,6348,1,NULL
756,6349,1,NULL
757,6350,1,NULL
758,6351,1,NULL
759,6351,2,NULL
760,6352,1,NULL
761,6353,1,NULL
762,6354,1,NULL
763,6355,1,NULL
764,6356,1,NULL
765,6358,1,NULL
766,6359,1,NULL
767,6360,1,NULL
768,6361,1,NULL
769,6362,1,NULL
770,6362,2,NULL
771,6362,3,NULL
772,6363,1,NULL
773,6363,2,NULL
774,6364,1,NULL
775,6365,1,NULL
776,6366,1,Evidence
777,6367,1,NULL
778,6368,1,NULL
779,6369,1,NULL
780,6370,1,NULL
