properties.ObjectId,properties.StopID,properties.PID,properties.contrabandOrEvidenceDiscovered
633,6469,1,None
634,6470,1,None
635,6471,1,None
636,6472,1,None
637,6473,1,None
638,6474,1,None
639,6474,2,None
640,6475,1,None
641,6476,1,Drugs/narcotics
642,6477,1,None
643,6478,1,None
644,6479,1,None
645,6480,1,None
646,6481,1,None
647,6482,1,None
648,6483,1,None
649,6484,1,None
650,6484,2,None
651,6485,1,None
652,6486,1,None
653,6486,2,None
654,6487,1,None
655,6488,1,None
656,6489,1,None
657,6490,1,None
658,6491,1,None
659,6492,1,None
660,6493,1,None
661,6494,1,None
662,6495,1,None
663,6496,1,None
664,6497,1,None
665,6498,1,None
666,6498,2,None
667,6499,1,None
668,6500,1,None
669,6501,1,None
670,6502,1,None
671,6503,1,None
672,6504,1,None
673,6505,1,None
674,6507,1,Alcohol
675,6508,1,None
676,6509,1,None
677,6510,1,None
678,6511,1,None
679,6512,1,None
680,6513,1,None
681,6514,1,None
682,6515,1,None
683,6516,1,None
684,6517,1,None
685,6518,1,None
686,6519,1,None
687,6520,1,Drugs/narcotics
688,6521,1,None
689,6522,1,None
690,6523,1,None
691,6524,1,None
692,6525,1,None
693,6526,1,None
694,6527,1,Firearm(s)
695,6528,1,None
696,6528,2,None
697,6529,1,Ammunition
698,6530,1,None
699,6531,1,None
700,6532,1,None
701,6296,1,None
702,6297,1,None
703,6300,1,None
704,6302,1,None
705,6303,1,Drugs/narcotics
706,6304,1,Drugs/narcotics
707,6305,1,None
708,6306,1,None
709,6307,1,None
710,6308,1,None
711,6309,1,None
712,6310,1,None
713,6311,1,None
714,6312,1,None
715,6313,1,None
716,6314,1,None
717,6315,1,None
718,6316,1,None
719,6317,1,None
720,6318,1,None
721,6319,1,None
722,6320,1,None
723,6321,1,None
724,6322,1,None
725,6323,1,None
726,6324,1,None
727,6325,1,None
728,6326,1,None
729,6327,1,None
730,6328,1,None
731,6329,1,None
732,6330,1,None
733,6331,1,None
734,6332,1,None
735,6333,1,None
736,6334,1,None
737,6334,2,None
738,6335,1,Weapon(s) other than a firearm
739,6336,1,None
740,6337,1,None
741,6337,3,None
742,6338,1,None
743,6339,1,Drug Paraphernalia
744,6339,1,Drugs/narcotics
745,6340,1,None
746,6341,1,None
747,6341,2,None
748,6342,1,None
749,6344,1,None
750,6345,1,Drugs/narcotics
751,6346,1,None
752,6347,1,None
753,6348,1,None
754,6349,1,None
755,6350,1,None
756,6351,1,None
757,6351,2,None
758,6352,1,None
759,6353,1,None
760,6354,1,None
761,6355,1,None
762,6356,1,None
763,6358,1,Suspected Stolen property
764,6359,1,None
765,6360,1,None
766,6361,1,None
767,6362,1,None
768,6362,2,None
769,6362,3,None
770,6363,1,None
771,6363,2,None
772,6364,1,None
773,6365,1,None
774,6366,1,Drug Paraphernalia
775,6367,1,None
776,6368,1,None
777,6369,1,None
778,6370,1,None
779,6371,1,None
780,6372,1,None
781,6373,1,None
782,6374,1,None
783,6375,1,None
784,6376,1,None
785,6377,1,None
786,6378,1,None
787,6379,1,None
788,6380,1,None
789,6381,1,None
790,6382,1,None
791,6383,1,None
792,6384,1,Other Contraband or evidence
793,6385,1,None
794,6386,1,None
795,6387,1,None
796,6388,1,None
797,6389,1,None
798,6390,1,None
799,6392,1,None
800,6392,2,None
801,6666,1,None
802,6667,1,None
803,6667,2,None
804,6668,1,None
805,6669,1,None
806,6670,1,None
807,6671,1,None
808,6672,1,None
809,6673,1,None
810,6674,1,None
811,6675,1,None
812,6676,1,None
813,6677,1,None
814,6678,1,None
815,6679,1,None
816,6680,1,None
817,6681,1,None
818,6682,1,None
819,6682,2,None
820,6683,1,None
821,6623,1,None
822,6684,1,None
823,6685,1,None
824,6805,1,None
825,6624,1,None
826,6686,1,None
827,6806,1,None
828,6625,1,None
829,6687,1,None
830,6807,1,None
831,6626,1,None
832,6688,1,None
833,6808,1,Drugs/narcotics
834,6627,1,None
835,6689,1,None
836,6809,1,None
837,6628,1,None
838,6690,1,None
839,6691,1,None
840,6692,1,None
841,6693,1,None
842,6694,1,None
843,6695,1,None
844,6696,1,None
845,6696,2,None
846,6697,1,None
847,6698,1,None
848,6699,1,None
849,6700,1,None
850,6701,1,None
851,6702,1,None
852,6703,1,Drugs/narcotics
853,6704,1,None
854,6705,1,None
855,6706,1,None
856,6707,1,None
857,6708,1,None
858,6709,1,None
859,6710,1,None
860,6711,1,None
861,6712,1,None
862,6810,1,None
863,6810,2,None
864,6810,3,None
865,6810,4,None
866,6810,5,None
867,6811,1,None
868,6628,2,None
869,6812,1,None
870,6628,3,None
871,6814,1,None
872,6629,1,None
873,6815,1,None
874,6629,2,None
875,6816,1,None
876,6630,1,None
877,6817,1,None
878,6631,1,None
879,6817,2,None
880,6631,2,None
881,6818,1,None
882,6631,3,None
883,6819,1,None
884,6631,4,None
885,6819,2,None
886,6632,1,None
887,6633,1,None
888,6820,1,None
889,6634,1,None
890,6820,2,None
891,6635,1,None
892,6821,1,None
893,6636,1,None
894,6822,1,None
895,6637,1,None
896,6823,1,None
897,6638,1,None
898,6824,1,None
899,6639,1,None
900,6825,1,Other Contraband or evidence
901,6640,1,None
902,6826,1,None
903,6533,1,None
904,6641,1,None
905,6827,1,None
906,6712,2,None
907,6760,1,None
908,6534,1,None
909,6642,1,None
910,6828,1,None
911,6713,1,None
912,6761,1,None
913,6535,1,Drugs/narcotics
914,6643,1,None
915,6829,1,None
916,6714,1,None
917,6762,1,None
918,6577,1,None
919,6536,1,Drug Paraphernalia
920,6644,1,None
921,6830,1,None
922,6714,2,None
923,6763,1,None
924,6578,1,Drug Paraphernalia
925,6536,1,Drugs/narcotics
926,6645,1,None
927,6831,1,None
928,6715,1,None
929,6764,1,None
930,6579,1,None
931,6537,1,None
932,6647,1,None
933,6832,1,None
934,6716,1,None
935,6765,1,None
936,6580,1,None
937,6538,1,None
938,6648,1,None
939,6833,1,None
940,6717,1,None
941,6765,2,None
942,6581,1,None
943,6538,2,None
944,6649,1,None
945,6834,1,None
946,6718,1,None
947,6766,1,None
948,6582,1,None
949,6848,1,None
950,6539,1,None
951,6649,2,None
952,6835,1,None
953,6719,1,None
954,6767,1,None
955,6583,1,None
956,6849,1,None
957,6540,1,None
958,6649,3,None
959,6836,1,None
960,6720,1,None
961,6768,1,None
962,6584,1,None
963,6850,1,None
964,6541,1,None
965,6650,1,None
966,6837,1,None
967,6721,1,Suspected Stolen property
968,6769,1,None
969,6585,1,None
970,6851,1,None
971,6542,1,None
972,6651,1,None
973,6838,1,None
974,6722,1,None
975,6770,1,None
976,6586,1,None
977,6852,1,None
978,6543,1,None
979,6652,1,None
980,6839,1,Drugs/narcotics
981,6723,1,None
982,6771,1,None
983,6587,1,None
984,6853,1,None
985,6544,1,None
986,6653,1,None
987,6840,1,None
988,6724,1,None
989,6772,1,None
990,6588,1,None
991,6855,1,None
992,6545,1,None
993,6654,1,None
994,6841,1,None
995,6725,1,None
996,6773,1,None
997,6589,1,None
998,6855,2,None
999,6545,2,None
1000,6655,1,None
1001,6842,1,None
1002,6726,1,None
1003,6774,1,None
1004,6590,1,None
1005,6856,1,None
1006,6546,1,None
1007,6655,2,None
1008,6843,1,None
1009,6727,1,None
1010,6728,1,None
1011,6729,1,None
1012,6730,1,None
1013,6731,1,Suspected Stolen property
1014,6732,1,None
1015,6733,1,None
1016,6733,2,None
1017,6734,1,None
1018,6735,1,None
1019,6736,1,None
1020,6737,1,None
1021,6738,1,None
1022,6739,1,None
1023,6740,1,None
1024,6741,1,None
1025,6742,1,None
1026,6743,1,None
1027,6744,1,None
1028,6747,1,None
1029,6748,1,None
1030,6750,1,None
1031,6750,2,None
1032,6750,3,None
1033,6751,1,None
1034,6751,2,None
1035,6752,1,None
1036,6753,1,None
1037,6754,1,None
1038,6755,1,None
1039,6756,1,None
1040,6757,1,None
1041,6758,1,None
1042,6759,1,None
1043,6547,1,None
1044,6857,1,None
1045,6591,1,None
1046,6656,1,None
1047,6775,1,None
1048,6844,1,None
1049,6548,1,None
1050,6858,1,None
1051,6592,1,None
1052,6657,1,None
1053,6776,1,None
1054,6845,1,None
1055,6549,1,None
1056,6859,1,None
1057,6593,1,None
1058,6658,1,None
1059,6777,1,None
1060,6846,1,None
1061,6550,1,None
1062,6860,1,None
1063,6594,1,None
1064,6660,1,None
1065,6778,1,None
1066,6847,1,None
1067,6551,1,None
1068,6860,2,None
1069,6594,2,None
1070,6661,1,None
1071,6779,1,None
1072,6847,2,None
1073,6552,1,None
1074,6862,1,None
1075,6594,3,None
1076,6662,1,None
1077,6780,1,None
1078,6553,1,None
1079,6863,1,None
1080,6595,1,None
1081,6663,1,None
1082,6781,1,None
1083,6554,1,None
1084,6864,1,None
1085,6596,1,None
1086,6664,1,None
1087,6782,1,None
1088,6554,2,None
1089,6865,1,None
1090,6597,1,None
1091,6665,1,None
1092,6783,1,None
1093,6555,1,None
1094,6866,1,None
1095,6598,1,None
1096,6784,1,None
1097,6556,1,None
1098,6867,1,None
1099,6599,1,None
1100,6785,1,None
1101,6557,1,None
1102,6868,1,None
1103,6600,1,Weapon(s) other than a firearm
1104,6786,1,None
1105,6558,1,None
1106,6869,1,None
1107,6601,1,None
1108,6787,1,None
1109,6559,1,None
1110,6870,1,None
1111,6602,1,None
1112,6788,1,None
1113,6560,1,None
1114,6871,1,None
1115,6603,1,None
1116,6789,1,None
1117,6561,1,None
1118,6872,1,None
1119,6604,1,None
1120,6790,1,None
1121,6562,1,None
1122,6873,1,None
1123,6605,1,None
1124,6791,1,None
1125,6563,1,None
1126,6874,1,None
1127,6606,1,None
1128,6791,2,None
1129,6564,1,None
1130,6875,1,None
1131,6607,1,None
1132,6792,1,None
1133,6565,1,None
1134,6876,1,None
1135,6608,1,None
1136,6792,2,None
1137,6565,2,None
1138,6877,1,None
1139,6609,1,None
1140,6793,1,None
1141,6566,1,None
1142,6878,1,None
1143,6610,1,None
1144,6794,1,None
1145,6566,2,None
1146,6879,1,None
1147,6611,1,None
1148,6795,1,None
1149,6567,1,None
1150,6880,1,None
1151,6611,2,None
1152,6796,1,None
1153,6568,1,None
1154,6881,1,None
1155,6611,3,None
1156,6796,2,None
1157,6569,1,None
1158,6882,1,None
1159,6611,4,None
1160,6797,1,None
1161,6570,1,None
1162,6883,1,None
1163,6612,1,None
1164,6798,1,None
1165,6571,1,None
1166,6884,1,None
1167,6613,1,None
1168,6799,1,None
1169,6572,1,None
1170,6885,1,None
1171,6615,1,None
1172,6800,1,None
1173,6573,1,None
1174,6886,1,Other Contraband or evidence
1175,6616,1,None
1176,6800,2,None
1177,6801,1,None
1178,6802,1,None
1179,6803,1,None
1180,6804,1,None
1181,6574,1,None
1182,6617,1,None
1183,6887,1,None
1184,6575,1,None
1185,6618,1,None
1186,6889,1,None
1187,6576,1,None
1188,6619,1,None
1189,6890,1,None
1190,6620,1,None
1191,6891,1,None
1192,6621,1,None
1193,6892,1,None
1194,6622,1,None
1195,6893,1,None
1196,6894,1,None
1197,6895,1,None
1198,6896,1,None
1199,6897,1,None
1200,6898,1,None
1201,6947,1,Drugs/narcotics
1202,6948,1,None
1203,6949,1,None
1204,6950,1,None
1205,6951,1,None
1206,6993,1,None
1207,6952,1,None
1208,6994,1,None
1209,6953,1,None
1210,6995,1,Weapon(s) other than a firearm
1211,6953,2,None
1212,6995,2,Weapon(s) other than a firearm
1213,6953,3,None
1214,6995,3,None
1215,6954,1,None
1216,6955,1,None
1217,6995,4,Weapon(s) other than a firearm
1218,6956,1,Other Contraband or evidence
1219,6995,5,None
1220,6956,2,Other Contraband or evidence
1221,6996,1,None
1222,6956,3,Other Contraband or evidence
1223,7039,1,None
1224,6997,1,None
1225,6957,1,None
1226,7040,1,None
1227,6998,1,None
1228,6958,1,Weapon(s) other than a firearm
1229,7041,1,None
1230,6999,1,None
1231,6959,1,None
1232,7042,1,None
1233,7000,1,None
1234,6960,1,None
1235,7043,1,None
1236,7001,1,None
1237,6961,1,None
1238,7044,1,None
1239,7002,1,None
1240,6962,1,None
1241,7045,1,None
1242,7003,1,None
1243,6963,1,None
1244,7046,1,None
1245,7004,1,None
1246,7121,1,None
1247,6964,1,None
1248,7047,1,None
1249,7079,1,None
1250,7005,1,None
1251,7122,1,None
1252,6964,2,None
1253,7048,1,None
1254,7080,1,None
1255,7006,1,None
1256,7123,1,None
1257,6965,1,None
1258,7049,1,None
1259,7081,1,None
1260,7007,1,None
1261,7124,1,None
1262,6966,1,None
1263,7050,1,None
1264,7082,1,None
1265,7008,1,None
1266,7125,1,Drugs/narcotics
1267,6967,1,None
1268,7051,1,None
1269,7082,2,None
1270,7009,1,None
1271,7126,1,None
1272,6968,1,None
1273,7052,1,None
1274,7083,1,None
1275,7010,1,None
1276,7127,1,None
1277,6969,1,None
1278,7052,2,None
1279,7084,1,None
1280,7011,1,None
1281,7127,2,None
1282,6970,1,None
1283,7053,1,Suspected Stolen property
1284,7085,1,None
1285,7012,1,None
1286,7128,1,None
1287,6972,1,None
1288,7053,2,Suspected Stolen property
1289,7086,1,None
1290,7013,1,None
1291,7129,1,None
1292,6973,1,None
