StopID,PID,ObjectId,perceivedRace_Asian,perceivedRace_Black,perceivedRace_Hispanic,perceivedRace_Middle Eastern or South Asian,perceivedRace_Native American,perceivedRace_Pacific Islander,perceivedRace_White
39382,1,34660,0,1,0,0,0,0,0
39383,1,34666,0,0,0,1,0,0,0
39384,1,34673,0,0,0,0,0,0,1
39385,1,34680,0,0,1,0,0,0,0
39386,1,34687,0,1,0,0,0,0,0
39387,1,34694,0,1,0,0,0,0,0
39388,1,34701,0,0,1,0,0,0,0
39389,1,34708,0,0,0,0,0,1,0
39390,1,34715,0,1,0,0,0,0,0
39391,1,241231,1,1,1,1,1,1,1
39392,1,241192,1,1,1,1,1,1,1
39393,1,241714,1,1,1,1,1,1,1
39394,1,242046,1,1,1,1,1,1,1
39395,1,242343,1,1,1,1,1,1,1
39396,1,242658,1,1,1,1,1,1,1
39397,1,242987,1,1,1,1,1,1,1
39398,1,241621,1,1,1,1,1,1,1
39399,1,241255,1,1,1,1,1,1,1
39401,1,34529,0,0,1,0,0,0,0
39402,1,34535,0,0,0,0,0,0,1
39403,1,34541,0,0,0,0,0,0,1
39404,1,34547,0,0,0,0,0,0,1
39405,1,34553,0,0,1,0,0,0,0
39406,1,34559,0,0,0,0,0,0,1
39407,1,34565,1,0,0,0,0,0,0
39408,1,34571,0,0,0,0,0,0,1
39409,1,34577,0,0,1,0,0,0,0
39410,1,34583,0,0,0,0,0,0,1
39411,1,34589,0,0,0,0,0,0,1
39412,1,34595,0,0,0,0,0,0,1
39413,1,34601,0,0,1,0,0,0,0
39414,1,34607,0,0,1,0,0,0,0
39415,1,34613,0,1,0,0,0,0,0
39416,1,34619,0,0,0,0,0,0,1
39417,1,34625,0,0,1,0,0,0,0
39418,1,34631,0,0,1,0,0,0,0
39419,1,34638,0,0,0,0,0,0,1
39420,1,242630,1,1,1,1,1,1,1
39421,1,242961,1,1,1,1,1,1,1
39422,1,34733,0,0,0,0,0,0,1
39422,2,34738,0,0,0,0,0,0,1
39423,1,34743,0,0,0,0,0,0,1
39424,1,34747,0,0,1,0,0,0,0
39425,1,34751,0,0,1,0,0,0,0
39426,1,35090,0,0,1,0,0,0,0
39427,1,35152,0,0,1,0,0,0,0
39428,1,35153,0,0,1,0,0,0,0
39429,1,35154,0,0,1,0,0,0,0
39430,1,35155,0,1,0,0,0,0,0
39431,1,35156,0,0,1,0,0,0,0
39432,1,35157,0,0,1,0,0,0,0
39433,1,70317,0,1,0,0,0,0,1
39434,1,35160,0,0,1,0,0,0,0
39435,1,35161,0,0,0,0,0,0,1
39439,1,35162,0,0,1,0,0,0,0
39440,1,35163,0,0,0,0,0,0,1
39441,1,35164,0,1,0,0,0,0,0
39442,1,35165,0,0,0,0,0,0,1
39443,1,35166,0,0,1,0,0,0,0
39444,1,35167,0,0,1,0,0,0,0
39445,1,35168,0,1,0,0,0,0,0
39446,1,35169,0,1,0,0,0,0,0
39447,1,35170,0,1,0,0,0,0,0
39448,1,35171,0,0,1,0,0,0,0
39449,1,35172,0,0,1,0,0,0,0
39450,1,35173,0,0,1,0,0,0,0
39451,1,35174,0,0,1,0,0,0,0
39452,1,35175,0,1,0,0,0,0,0
39453,1,35176,0,0,1,0,0,0,0
39454,1,35177,0,0,1,0,0,0,0
39455,1,35178,0,1,0,0,0,0,0
39456,1,35179,0,0,0,0,0,0,1
39457,1,35180,0,0,1,0,0,0,0
39458,1,35181,0,0,0,0,0,0,1
39459,1,35182,0,0,0,0,0,0,1
39460,1,35183,0,0,0,1,0,0,0
39461,1,35184,0,1,0,0,0,0,0
39461,2,35185,0,0,0,0,0,0,1
39461,3,35186,0,1,0,0,0,0,0
39461,4,35187,0,0,1,0,0,0,0
39462,1,35188,0,0,0,0,0,0,1
39463,1,35189,0,0,1,0,0,0,0
39464,1,35190,1,0,0,0,0,0,0
39465,1,70383,0,0,1,0,1,0,0
39466,1,35193,0,0,1,0,0,0,0
39467,1,35194,0,0,1,0,0,0,0
39468,1,35195,0,1,0,0,0,0,0
39469,1,35196,0,0,1,0,0,0,0
39470,1,35197,0,0,0,0,0,0,1
39470,2,35198,0,0,1,0,0,0,0
39471,1,35199,0,0,1,0,0,0,0
39472,1,35200,0,0,1,0,0,0,0
39473,1,34813,0,0,1,0,0,0,0
39474,1,34819,0,1,0,0,0,0,0
39475,1,34825,0,0,1,0,0,0,0
39476,1,34832,0,0,1,0,0,0,0
39477,1,34839,0,0,0,0,0,0,1
39478,1,34846,0,1,0,0,0,0,0
39479,1,34853,0,1,0,0,0,0,0
39480,1,34860,0,0,0,0,0,1,0
39482,1,34867,1,0,0,0,0,0,0
39483,1,34874,0,1,0,0,0,0,0
39484,1,34881,0,0,1,0,0,0,0
39485,1,34888,0,0,1,0,0,0,0
39486,1,34895,0,0,1,0,0,0,0
39487,1,34902,0,0,1,0,0,0,0
39488,1,34909,0,1,0,0,0,0,0
39489,1,34916,0,1,0,0,0,0,0
39490,1,34923,0,1,0,0,0,0,0
39491,1,34930,0,0,0,0,0,0,1
39492,1,34935,0,0,1,0,0,0,0
39493,1,34940,0,1,0,0,0,0,0
39494,1,34944,0,0,0,0,0,0,1
39494,2,34951,0,0,0,0,0,0,1
39495,1,34958,0,0,1,0,0,0,0
39496,1,34965,0,0,0,0,0,0,1
39497,1,34972,0,0,0,0,0,0,1
39498,1,34979,0,0,0,0,0,0,1
39499,1,34986,0,0,1,0,0,0,0
39500,1,34993,0,0,1,0,0,0,0
